energy,intensity
97.76732,0.069688186
92.828835,0.073332965
88.18945,0.07747094
83.8307,0.08141233
79.735245,0.085739754
75.88682,0.089436695
72.27017,0.09373144
68.87099,0.09871637
65.67586,0.103673816
62.672165,0.109662935
59.848106,0.11622177
57.19261,0.122482024
54.69525,0.12873879
52.346306,0.1348489
50.136597,0.14061828
48.057564,0.14803222
46.10113,0.15462962
44.25976,0.16086577
42.52636,0.16800371
40.894283,0.17762288
39.357292,0.18533494
37.909534,0.19398464
36.545517,0.20225887
35.260098,0.20942621
34.04844,0.21568373
32.906017,0.22436425
31.828575,0.23095472
30.812122,0.24112067
29.85292,0.2492089
28.947456,0.25936374
28.092442,0.26756808
27.284779,0.27596784
26.521572,0.28303257
25.800108,0.29224274
25.117828,0.29971805
24.472345,0.31059277
23.861408,0.3204332
23.282911,0.3294559
22.734882,0.33944315
22.215462,0.34953853
21.722916,0.35666126
21.255604,0.36511782
20.812004,0.37478566
20.390675,0.3840266
19.990267,0.39339086
19.609518,0.40517944
19.247244,0.4129569
18.902327,0.42433652
18.573725,0.4330175
18.260456,0.4420379
17.961601,0.44866458
17.676302,0.458126
17.403744,0.4659687
17.143167,0.474747
16.893862,0.48416167
16.655159,0.49581274
16.426428,0.50643265
16.207083,0.51714265
15.996571,0.52794564
15.794373,0.5342443
15.6,0.5436026
15.412999,0.5537811
15.232939,0.560804
15.05942,0.5690994
14.892062,0.5791059
14.730514,0.58871275
14.574441,0.5958148
14.423531,0.6060791
14.277491,0.6162485
14.136047,0.623751
13.998942,0.63235164
13.865933,0.6389416
13.73679,0.64642966
13.611302,0.6547383
13.48927,0.663786
13.3705015,0.67142147
13.254824,0.6789259
13.142069,0.68475074
13.032082,0.6894147
12.924716,0.6928927
12.819836,0.7007153
12.717309,0.70453596
12.617017,0.7105971
12.518845,0.7150086
12.422684,0.7237021
12.328438,0.72947025
12.23601,0.7335552
12.145311,0.7396315
12.056257,0.74569756
11.968773,0.7512695
11.882783,0.7603752
11.798219,0.7734625
11.7150135,0.77908003
11.633108,0.78481525
11.552444,0.78211796
11.472969,0.7879158
11.394629,0.7847874
11.317378,0.78911686
11.241171,0.7973108
11.165965,0.79929686
11.091721,0.79993004
11.018401,0.8102652
10.945969,0.8119093
10.874393,0.815516
10.803641,0.82247096
10.733684,0.8339244
10.664492,0.8383811
10.596042,0.84420854
10.528306,0.856956
10.461264,0.8639759
10.394891,0.8673954
10.329167,0.8705226
10.264075,0.87745917
10.199594,0.8851439
10.135705,0.89244384
10.072394,0.8950232
10.0096445,0.8997629
9.947442,0.90246713
9.885775,0.90089333
9.824624,0.9033942
9.763982,0.91168416
9.703834,0.9120933
9.64417,0.91637963
9.584979,0.9200676
9.526253,0.9156703
9.467979,0.9102542
9.410151,0.91523015
9.3527565,0.9136987
9.295791,0.9147639
9.239244,0.91438514
9.183109,0.91364413
9.12738,0.92017794
9.07205,0.92354727
9.01711,0.92353326
8.962557,0.92526275
8.908382,0.9315421
8.854581,0.9324425
8.801149,0.94404805
8.74808,0.9557557
8.69537,0.9603794
8.643014,0.9700645
8.591007,0.9728918
8.539344,0.9746932
8.48802,0.98161423
8.437034,0.99219704
8.38638,0.99281776
8.336055,1.0019498
8.286055,1.0092235
8.236377,1.0119579
8.187016,1.0116687
8.13797,1.0145513
8.089236,1.0213821
8.04081,1.0255452
7.9926906,1.0308102
7.9448724,1.037929
7.8973556,1.0414138
7.850135,1.0469377
7.80321,1.0534196
7.7565756,1.066873
7.710231,1.0723432
7.664174,1.0795457
7.6184006,1.0921365
7.57291,1.1044545
7.5276995,1.1058749
7.482766,1.1113503
7.4381084,1.1191949
7.3937244,1.1131369
7.349611,1.119818
7.3057675,1.1253448
7.2621903,1.1256936
7.218879,1.1352658
7.175831,1.1378233
7.133044,1.145056
7.090517,1.1656563
7.0482473,1.1817199
7.0062337,1.1798865
6.9644732,1.1948911
6.9229665,1.1888297
6.881709,1.1832855
6.840701,1.1818808
6.79994,1.19324
6.7594247,1.1991022
6.719154,1.2095333
6.679125,1.2172173
6.6393356,1.2240745
6.599786,1.2256844
6.560474,1.2274908
6.5213976,1.2344003
6.482556,1.2485223
6.443947,1.2636708
6.4055705,1.2712417
6.367422,1.2779449
6.3295035,1.287208
6.291812,1.2866037
6.254346,1.2919872
6.217103,1.3046355
6.1800838,1.3140967
6.1432858,1.3198388
6.106708,1.3279823
6.0703483,1.3397672
6.034206,1.3415297
5.9982805,1.3648292
5.9625683,1.3703225
5.92707,1.3758322
5.891784,1.379632
5.856708,1.3893836
5.8218417,1.3909643
5.787183,1.3975368
5.752732,1.4026219
5.718485,1.4148341
5.684444,1.4197274
5.650605,1.4228283
5.616968,1.4334189
5.583532,1.4610038
5.550295,1.4708002
5.5172563,1.4901443
5.4844136,1.5080775
5.4517684,1.5155084
5.419316,1.5031298
5.387058,1.5094328
5.3549924,1.5070723
5.3231173,1.5139127
5.2914324,1.5364361
5.2599363,1.5450836
5.228627,1.5618403
5.1975055,1.5748276
5.166569,1.5693486
5.135817,1.5662944
5.105248,1.5768119
5.0748606,1.5790938
5.044654,1.5905659
5.0146275,1.6018288
4.9847803,1.6201668
4.955111,1.6248815
4.9256177,1.6301849
4.8963003,1.6289632
4.867158,1.634835
4.8381886,1.6398176
4.809392,1.6451035
4.7807665,1.6558657
4.7523127,1.667309
4.724026,1.6791384
4.695909,1.6904304
4.667959,1.6961931
4.640177,1.7000847
4.612559,1.7241275
4.585105,1.7420582
4.557816,1.756634
4.530688,1.771322
4.5037217,1.7809597
4.4769163,1.7809105
4.450271,1.7794905
4.423784,1.8003294
4.3974533,1.812431
4.3712807,1.8172982
4.345264,1.8432299
4.3194017,1.858977
4.293693,1.854199
4.2681384,1.8618956
4.2427354,1.8768114
4.217483,1.8770218
4.192381,1.8813274
4.16743,1.8960787
4.142626,1.9228678
4.11797,1.9350865
4.09346,1.9456075
4.069097,1.9697577
4.0448785,1.9790363
4.0208044,1.9919698
3.9968739,2.0068054
3.9730854,2.050645
3.949438,2.0551956
3.925932,2.0608377
3.9025662,2.0627494
3.8793387,2.0803447
3.85625,2.0645344
3.8332987,2.0742419
3.8104842,2.0931447
3.7878044,2.1056776
3.7652605,2.1113372
3.742851,2.1224248
3.7205741,2.1406016
3.6984303,2.1553833
3.6764178,2.1635447
3.6545374,2.1876333
3.632786,2.1947308
3.6111646,2.2118962
3.5896719,2.2546947
3.5683074,2.2718601
3.5470698,2.2887404
3.525958,2.300383
3.5049734,2.3095946
3.484112,2.2867157
3.4633756,2.307541
3.4427624,2.3369765
3.4222722,2.3615851
3.4019039,2.3671806
3.3816562,2.3706098
3.3615294,2.3774538
3.3415227,2.380815
3.321635,2.3924446
3.3018653,2.4155722
3.2822137,2.440662
3.2626784,2.4570572
3.24326,2.458773
3.2239568,2.4802568
3.2047691,2.4887576
3.1856952,2.5132394
3.1667347,2.522321
3.1478868,2.5471187
3.1291518,2.5637622
3.1105278,2.6113513
3.0920146,2.6227562
3.0736122,2.6389322
3.0553188,2.6742349
3.037134,2.6725419
3.0190578,2.6827667
3.0010896,2.700766
2.9832275,2.7466543
2.9654722,2.7351644
2.9478228,2.7663312
2.930278,2.772975
2.9128375,2.7945676
2.895501,2.8128057
2.878268,2.83924
2.8611374,2.8384612
2.8441086,2.8569891
2.8271809,2.8838625
2.8103547,2.8876834
2.7936282,2.9309843
2.7770011,2.9558606
2.7604735,2.9567103
2.7440438,2.968058
2.7277122,2.9964843
2.711477,2.9903061
2.6953394,3.0211508
2.6792972,3.030561
2.663351,3.0678046
2.6474993,3.1015434
2.631742,3.1118302
2.6160786,3.1260176
2.6005085,3.153117
2.5850313,3.1759315
2.5696461,3.1723232
2.5543516,3.197576
2.5391486,3.21386
2.524037,3.2325253
2.5090146,3.2397156
2.4940815,3.2754292
2.4792366,3.2938695
2.4644816,3.3035648
2.4498136,3.3387687
2.4352329,3.3492103
2.420739,3.355455
2.4063315,3.3767529
2.3920097,3.3927178
2.377773,3.4050853
2.363621,3.413791
2.3495533,3.436086
2.3355696,3.474704
2.3216686,3.497387
2.3078513,3.5221043
2.294115,3.6059108
2.280461,3.6300495
2.2668889,3.6235745
2.253397,3.6717129
2.2399855,3.6846135
2.2266536,3.6635966
2.213401,3.6724
2.2002275,3.6871223
2.1871324,3.699231
2.174115,3.6953094
2.1611753,3.69188
2.1483126,3.6909842
2.1355262,3.7069588
2.1228166,3.7065601
2.1101818,3.7266872
2.0976226,3.73445
2.0851378,3.7526283
2.0727284,3.8164642
2.060392,3.8364933
2.0481286,3.8878484
2.0359385,3.9368248
2.0238216,3.969731
2.0117764,3.9559338
1.9998028,3.9679914
1.9879006,3.9354548
1.9760691,3.9325416
1.9643079,3.9642262
1.9526169,3.9641433
1.9409955,4.002105
1.9294431,4.023807
1.9179596,4.0600233
1.9065444,4.0713735
1.8951972,4.1241236
1.8839173,4.1202726
1.8727047,4.1433907
1.8615594,4.1572676
1.8504798,4.1727343
1.8394659,4.217471
1.8285179,4.262593
1.8176354,4.278518
1.8068173,4.285636
1.7960637,4.3234334
1.7853739,4.3224564
1.7747478,4.36062
1.7641851,4.3916717
1.753685,4.431226
1.7432475,4.5086126
1.7328722,4.511285
1.7225585,4.518048
1.7123064,4.5187874
1.7021154,4.5074186
1.6919845,4.4811525
1.6819143,4.507983
1.6719041,4.4941177
1.6619537,4.538514
1.6520622,4.599117
1.6422291,4.616035
1.6324553,4.6240864
1.6227394,4.634756
1.6130813,4.6670103
1.6034806,4.672295
1.5939372,4.665621
1.5844505,4.698143
1.5750202,4.7456503
1.5656462,4.7610683
1.5563277,4.7998466
1.5470649,4.8558283
1.5378572,4.875451
1.5287046,4.88943
1.5196058,4.8995786
1.5105615,4.922179
1.5015709,4.9090633
1.4926344,4.96377
1.4837507,5.002305
1.4749194,5.0194473
1.466141,5.0356236
1.4574152,5.0867143
1.4487412,5.072027
1.4401187,5.06001
1.4315474,5.088276
1.4230273,5.05542
1.4145577,5.0435653
1.4061385,5.0055475
1.3977697,4.9949665
1.3894506,4.9558387
1.3811809,4.971833
1.3729603,4.957143
1.3647891,4.9250593
