energy,intensity
97.76732,0.053990502
92.828835,0.056549676
88.18945,0.059689373
83.8307,0.06275823
79.735245,0.06609106
75.88682,0.06865751
72.27017,0.07114822
68.87099,0.07455428
65.67586,0.078911595
62.672165,0.08352842
59.848106,0.08819839
57.19261,0.09264927
54.69525,0.09759701
52.346306,0.10219862
50.136597,0.10594922
48.057564,0.11068393
46.10113,0.11569637
44.25976,0.12093663
42.52636,0.12552436
40.894283,0.13259521
39.357292,0.14009975
37.909534,0.14702193
36.545517,0.15342402
35.260098,0.15901715
34.04844,0.16386497
32.906017,0.1707465
31.828575,0.17670915
30.812122,0.18635915
29.85292,0.19336936
28.947456,0.20433803
28.092442,0.21210925
27.284779,0.22019899
26.521572,0.226426
25.800108,0.23529258
25.117828,0.24127884
24.472345,0.2522156
23.861408,0.26391125
23.282911,0.27602392
22.734882,0.28670484
22.215462,0.29903442
21.722916,0.30634993
21.255604,0.31452104
20.812004,0.32422763
20.390675,0.33898115
19.990267,0.34889716
19.609518,0.36337933
19.247244,0.37316376
18.902327,0.3870466
18.573725,0.39780647
18.260456,0.40964523
17.961601,0.41807932
17.676302,0.42893815
17.403744,0.43665776
17.143167,0.4455839
16.893862,0.45534247
16.655159,0.46762776
16.426428,0.4777668
16.207083,0.48988217
15.996571,0.500599
15.794373,0.50921607
15.6,0.5193804
15.412999,0.53181094
15.232939,0.54324913
15.05942,0.5552025
14.892062,0.56807816
14.730514,0.5820038
14.574441,0.59471786
14.423531,0.6076912
14.277491,0.61940396
14.136047,0.6276578
13.998942,0.63702345
13.865933,0.64470625
13.73679,0.6548935
13.611302,0.6653089
13.48927,0.6797314
13.3705015,0.68892163
13.254824,0.7011838
13.142069,0.7099644
13.032082,0.7213092
12.924716,0.72921276
12.819836,0.7431142
12.717309,0.7535621
12.617017,0.7633533
12.518845,0.77409923
12.422684,0.78617483
12.328438,0.7984327
12.23601,0.811828
12.145311,0.82171977
12.056257,0.83393717
11.968773,0.84695405
11.882783,0.8604213
11.798219,0.8765663
11.7150135,0.88862276
11.633108,0.8996266
11.552444,0.90439856
11.472969,0.9172505
11.394629,0.9203683
11.317378,0.92883366
11.241171,0.94004333
11.165965,0.9492384
11.091721,0.9583437
11.018401,0.97329426
10.945969,0.98172647
10.874393,0.9911283
10.803641,1.0008478
