energy,intensity
97.76732,0.05706761
92.828835,0.059743512
88.18945,0.062804036
83.8307,0.06643357
79.735245,0.07030149
75.88682,0.073062316
72.27017,0.07593433
68.87099,0.07989316
65.67586,0.0845766
62.672165,0.08890839
59.848106,0.09375937
57.19261,0.09867173
54.69525,0.104186736
52.346306,0.108750865
50.136597,0.1129642
48.057564,0.11821407
46.10113,0.123672165
44.25976,0.1289159
42.52636,0.13461486
40.894283,0.14251055
39.357292,0.15014383
37.909534,0.15679786
36.545517,0.16352503
35.260098,0.17035195
34.04844,0.17530435
32.906017,0.18227386
31.828575,0.18835275
30.812122,0.19815102
29.85292,0.20524804
28.947456,0.21543357
28.092442,0.22302513
27.284779,0.22968023
26.521572,0.23464575
25.800108,0.2426155
25.117828,0.24856928
24.472345,0.25827307
23.861408,0.26665208
23.282911,0.27490038
22.734882,0.2850428
22.215462,0.2951092
21.722916,0.2997265
21.255604,0.30583745
20.812004,0.31389257
20.390675,0.32237417
19.990267,0.3310125
19.609518,0.34225693
19.247244,0.34824592
18.902327,0.3595981
18.573725,0.36893338
18.260456,0.37597898
17.961601,0.38199195
17.676302,0.39054173
17.403744,0.39649096
17.143167,0.4041284
16.893862,0.4138774
16.655159,0.42565554
16.426428,0.43441382
16.207083,0.44432846
15.996571,0.45471835
15.794373,0.46081567
15.6,0.46963167
15.412999,0.4798556
15.232939,0.48619565
15.05942,0.49633345
14.892062,0.507474
14.730514,0.5196497
14.574441,0.52750796
14.423531,0.5399797
14.277491,0.55089796
14.136047,0.55928886
13.998942,0.56715435
13.865933,0.57479584
13.73679,0.58379686
13.611302,0.5940907
13.48927,0.6056064
13.3705015,0.6135946
13.254824,0.62421256
13.142069,0.63321745
13.032082,0.6342124
12.924716,0.6366696
12.819836,0.6427852
12.717309,0.6485387
12.617017,0.653118
12.518845,0.6581236
12.422684,0.6652068
12.328438,0.67029214
12.23601,0.67642426
12.145311,0.6807577
12.056257,0.6863889
11.968773,0.69711304
11.882783,0.70827305
11.798219,0.72123325
11.7150135,0.7274723
11.633108,0.7335937
11.552444,0.734187
11.472969,0.73737276
11.394629,0.73491704
11.317378,0.7409609
11.241171,0.75076765
11.165965,0.7558242
11.091721,0.76022846
11.018401,0.772146
10.945969,0.78044206
10.874393,0.78664815
10.803641,0.7982569
10.733684,0.8119898
10.664492,0.816713
10.596042,0.82157737
10.528306,0.8355597
10.461264,0.8478607
10.394891,0.8493598
10.329167,0.8518093
10.264075,0.8613175
10.199594,0.87032497
10.135705,0.87810504
10.072394,0.8844902
10.0096445,0.89279366
9.947442,0.89896077
9.885775,0.9013343
9.824624,0.9110864
9.763982,0.9231454
9.703834,0.93156326
9.64417,0.9441077
9.584979,0.95190907
9.526253,0.9539633
9.467979,0.9546157
9.410151,0.96387994
9.3527565,0.9671531
9.295791,0.9704221
9.239244,0.9782489
9.183109,0.9815384
9.12738,0.99119365
9.07205,0.99948156
9.01711,1.0013808
8.962557,1.0055301
8.908382,1.0142553
8.854581,1.01533
8.801149,1.0267782
8.74808,1.0388216
8.69537,1.0446174
8.643014,1.0591846
8.591007,1.0657656
8.539344,1.069831
8.48802,1.0781833
8.437034,1.0902112
8.38638,1.0870913
8.336055,1.0957463
8.286055,1.101306
8.236377,1.0991259
8.187016,1.1023799
8.13797,1.1124169
8.089236,1.1219933
8.04081,1.1271238
7.9926906,1.1380918
7.9448724,1.1471367
7.8973556,1.1510943
7.850135,1.1546861
7.80321,1.1646097
7.7565756,1.1751716
7.710231,1.1777115
7.664174,1.183651
7.6184006,1.199538
7.57291,1.2117333
7.5276995,1.2116745
7.482766,1.221281
7.4381084,1.2291996
7.3937244,1.2257676
7.349611,1.2347068
7.3057675,1.2359498
7.2621903,1.2403641
7.218879,1.2572682
7.175831,1.2597471
7.133044,1.2675077
7.090517,1.2919172
7.0482473,1.3052325
7.0062337,1.2999913
6.9644732,1.3190548
6.9229665,1.3133178
6.881709,1.3049297
6.840701,1.3074411
6.79994,1.3148508
6.7594247,1.3141316
6.719154,1.3209264
6.679125,1.3205745
6.6393356,1.3287073
6.599786,1.3335868
6.560474,1.3340458
6.5213976,1.3389194
6.482556,1.3532194
6.443947,1.3656124
6.4055705,1.3692561
6.367422,1.3754054
6.3295035,1.3845637
6.291812,1.3861593
6.254346,1.388189
6.217103,1.4086605
6.1800838,1.4201558
6.1432858,1.4258235
6.106708,1.4312699
6.0703483,1.4398429
6.034206,1.4361837
5.9982805,1.4595653
5.9625683,1.4641635
5.92707,1.473423
5.891784,1.4748471
5.856708,1.4916208
5.8218417,1.4900693
5.787183,1.4934685
5.752732,1.508728
5.718485,1.51878
5.684444,1.5209721
5.650605,1.526994
5.616968,1.5382082
5.583532,1.5677226
5.550295,1.5781579
5.5172563,1.6052568
5.4844136,1.6305044
5.4517684,1.6408008
5.419316,1.6280998
5.387058,1.6340721
5.3549924,1.631101
5.3231173,1.636227
5.2914324,1.6611307
5.2599363,1.6685908
5.228627,1.6949816
5.1975055,1.7137992
5.166569,1.7108402
5.135817,1.7012756
5.105248,1.7145941
5.0748606,1.7145512
5.044654,1.731156
5.0146275,1.7371743
4.9847803,1.7583631
4.955111,1.7683048
4.9256177,1.7771229
4.8963003,1.7717352
4.867158,1.7808504
4.8381886,1.7876085
4.809392,1.7961966
4.7807665,1.8069518
4.7523127,1.8180765
4.724026,1.8246558
4.695909,1.8340336
4.667959,1.8378538
4.640177,1.8450992
4.612559,1.8674898
4.585105,1.8897657
4.557816,1.9029936
4.530688,1.911822
4.5037217,1.917783
4.4769163,1.9101126
4.450271,1.9104456
4.423784,1.9261551
4.3974533,1.9390103
4.3712807,1.9492903
4.345264,1.9676508
4.3194017,1.9770768
4.293693,1.9811294
4.2681384,1.9834569
4.2427354,2.009377
4.217483,2.0103812
4.192381,2.0158317
4.16743,2.0338292
4.142626,2.0624957
4.11797,2.0681388
4.09346,2.0858474
4.069097,2.1140516
4.0448785,2.1206014
4.0208044,2.1318524
3.9968739,2.1337078
3.9730854,2.172089
3.949438,2.1700072
3.925932,2.1748555
3.9025662,2.1711187
3.8793387,2.1882393
3.85625,2.1685526
3.8332987,2.1747124
3.8104842,2.1854444
3.7878044,2.1966112
3.7652605,2.2043595
3.742851,2.2148395
3.7205741,2.2304444
3.6984303,2.2316175
3.6764178,2.2422116
3.6545374,2.252057
3.632786,2.2571402
3.6111646,2.2758865
3.5896719,2.3214972
3.5683074,2.3333604
3.5470698,2.3444629
3.525958,2.3527298
3.5049734,2.3618402
3.484112,2.3371887
3.4633756,2.3532803
3.4427624,2.375813
3.4222722,2.3955586
3.4019039,2.392386
3.3816562,2.3963962
3.3615294,2.3934507
3.3415227,2.3929932
3.321635,2.3981328
3.3018653,2.4230552
3.2822137,2.433577
3.2626784,2.439685
3.24326,2.4466746
3.2239568,2.4622254
3.2047691,2.462909
3.1856952,2.4794798
3.1667347,2.4911132
3.1478868,2.5051055
3.1291518,2.526142
3.1105278,2.5590215
3.0920146,2.571053
3.0736122,2.5760446
3.0553188,2.6119218
3.037134,2.6021993
3.0190578,2.6139286
3.0010896,2.6319997
2.9832275,2.667733
2.9654722,2.6484196
2.9478228,2.684983
2.930278,2.6817162
2.9128375,2.6992698
2.895501,2.7114158
2.878268,2.7326994
2.8611374,2.737886
2.8441086,2.7455916
2.8271809,2.7671719
2.8103547,2.7739131
2.7936282,2.8024871
2.7770011,2.8323507
2.7604735,2.8261433
2.7440438,2.829824
2.7277122,2.8414388
2.711477,2.8321881
2.6953394,2.8577724
2.6792972,2.8743412
2.663351,2.9188342
2.6474993,2.9357622
2.631742,2.9572053
2.6160786,2.9671335
2.6005085,2.9720445
2.5850313,2.984779
2.5696461,2.9805923
2.5543516,3.0029905
2.5391486,3.0032272
2.524037,3.0183291
2.5090146,3.0282912
2.4940815,3.0470054
2.4792366,3.070526
2.4644816,3.0753462
2.4498136,3.1085906
2.4352329,3.1033316
2.420739,3.110505
2.4063315,3.1158416
2.3920097,3.15637
2.377773,3.1630437
2.363621,3.1813674
2.3495533,3.1942303
2.3355696,3.2394898
2.3216686,3.2488704
2.3078513,3.2865841
2.294115,3.3588436
2.280461,3.3770423
2.2668889,3.365847
2.253397,3.4059932
2.2399855,3.4179516
2.2266536,3.3959904
2.213401,3.411071
2.2002275,3.4262092
2.1871324,3.438085
2.174115,3.4172256
2.1611753,3.4208736
2.1483126,3.4379735
2.1355262,3.4503913
2.1228166,3.457357
2.1101818,3.4870114
2.0976226,3.485025
2.0851378,3.5017095
2.0727284,3.5724583
2.060392,3.6058393
2.0481286,3.6714237
2.0359385,3.71268
2.0238216,3.742807
2.0117764,3.727651
1.9998028,3.7223542
1.9879006,3.711742
1.9760691,3.7126374
1.9643079,3.7467046
1.9526169,3.737877
1.9409955,3.7752318
1.9294431,3.7872899
1.9179596,3.8220901
1.9065444,3.8404
1.8951972,3.8879337
1.8839173,3.8857548
1.8727047,3.9152286
1.8615594,3.9129062
1.8504798,3.9182708
1.8394659,3.9678044
1.8285179,4.021764
1.8176354,4.0322504
1.8068173,4.0571976
1.7960637,4.0944357
1.7853739,4.103484
1.7747478,4.139518
1.7641851,4.166774
1.753685,4.2000093
1.7432475,4.2610064
1.7328722,4.257164
1.7225585,4.268311
1.7123064,4.294715
1.7021154,4.3016443
1.6919845,4.292183
1.6819143,4.304056
1.6719041,4.294186
1.6619537,4.318147
1.6520622,4.358077
1.6422291,4.363817
1.6324553,4.3712473
1.6227394,4.393838
1.6130813,4.422848
1.6034806,4.4339213
1.5939372,4.4522624
1.5844505,4.468831
1.5750202,4.4863596
1.5656462,4.514149
1.5563277,4.5617213
1.5470649,4.6050043
1.5378572,4.6278505
1.5287046,4.668868
1.5196058,4.6748266
1.5105615,4.677801
1.5015709,4.694195
1.4926344,4.7816935
1.4837507,4.8083634
1.4749194,4.835184
1.466141,4.8790035
1.4574152,4.920181
1.4487412,4.9205475
1.4401187,4.91166
1.4315474,4.9481745
1.4230273,4.919587
1.4145577,4.9079466
1.4061385,4.891856
1.3977697,4.9065886
1.3894506,4.890989
1.3811809,4.88555
1.3729603,4.871402
1.3647891,4.8579726
