2026-01-09 14:13:26 - INFO - Starting Spectrum Matching Optimization - Seed: 82018
2026-01-09 14:13:27 - INFO - Bayesian Step 1: laser_energy=10.326639, pressure=37.663369, acquisition_time=36.968515, MSE=0.000455
2026-01-09 14:13:28 - INFO - Bayesian Step 2: laser_energy=47.272296, pressure=12.785163, acquisition_time=43.817594, MSE=0.000587
2026-01-09 14:13:29 - INFO - Bayesian Step 3: laser_energy=5.625937, pressure=47.880203, acquisition_time=95.966178, MSE=0.000587
2026-01-09 14:13:29 - INFO - Bayesian Step 4: laser_energy=40.237990, pressure=29.662619, acquisition_time=55.706756, MSE=0.000587
2026-01-09 14:13:30 - INFO - Bayesian Step 5: laser_energy=6.042515, pressure=37.604091, acquisition_time=64.068760, MSE=0.000587
2026-01-09 14:13:31 - INFO - Bayesian Step 6: laser_energy=40.809525, pressure=8.689015, acquisition_time=34.281446, MSE=0.000462
2026-01-09 14:13:32 - INFO - Bayesian Step 7: laser_energy=19.723112, pressure=19.768066, acquisition_time=89.067849, MSE=0.000587
2026-01-09 14:13:33 - INFO - Bayesian Step 8: laser_energy=47.559167, pressure=18.751102, acquisition_time=45.160919, MSE=0.000587
2026-01-09 14:13:33 - INFO - Bayesian Step 9: laser_energy=48.250443, pressure=7.649559, acquisition_time=37.777388, MSE=0.000587
2026-01-09 14:13:34 - INFO - Bayesian Step 10: laser_energy=22.856320, pressure=38.456508, acquisition_time=57.180766, MSE=0.000497
2026-01-09 14:13:35 - INFO - Bayesian Step 11: laser_energy=11.626817, pressure=25.270039, acquisition_time=15.263283, MSE=0.002917
2026-01-09 14:13:36 - INFO - Bayesian Step 12: laser_energy=5.000000, pressure=39.403717, acquisition_time=77.735322, MSE=0.000587
2026-01-09 14:13:37 - INFO - Bayesian Step 13: laser_energy=49.877051, pressure=13.543780, acquisition_time=5.008578, MSE=0.000587
2026-01-09 14:13:38 - INFO - Bayesian Step 14: laser_energy=49.609368, pressure=15.139089, acquisition_time=99.868748, MSE=0.000587
2026-01-09 14:13:39 - INFO - Bayesian Step 15: laser_energy=50.000000, pressure=34.267019, acquisition_time=78.226080, MSE=0.000587
2026-01-09 14:13:40 - INFO - Bayesian Step 16: laser_energy=49.979658, pressure=29.381106, acquisition_time=19.756214, MSE=0.000586
2026-01-09 14:13:41 - INFO - Bayesian Step 17: laser_energy=5.000000, pressure=13.616201, acquisition_time=47.869994, MSE=0.000808
2026-01-09 14:13:42 - INFO - Bayesian Step 18: laser_energy=6.249865, pressure=9.976967, acquisition_time=5.171083, MSE=0.000347
2026-01-09 14:13:43 - INFO - Bayesian Step 19: laser_energy=12.619936, pressure=46.456842, acquisition_time=71.189637, MSE=0.000587
2026-01-09 14:13:44 - INFO - Bayesian Step 20: laser_energy=6.912225, pressure=24.304031, acquisition_time=26.588580, MSE=0.000405
2026-01-09 14:13:45 - INFO - Bayesian Step 21: laser_energy=50.000000, pressure=4.219260, acquisition_time=23.014903, MSE=0.000587
2026-01-09 14:13:46 - INFO - Bayesian Step 22: laser_energy=14.491533, pressure=45.836258, acquisition_time=67.886488, MSE=0.000587
2026-01-09 14:13:47 - INFO - Bayesian Step 23: laser_energy=9.378251, pressure=46.287032, acquisition_time=52.838508, MSE=0.000587
