2026-01-09 12:40:09 - INFO - Starting Spectrum Matching Optimization - Seed: 20932
2026-01-09 12:40:10 - INFO - Bayesian Step 1: laser_energy=35.282990, pressure=8.298857, acquisition_time=76.931078, MSE=0.000587
2026-01-09 12:40:11 - INFO - Bayesian Step 2: laser_energy=24.762454, pressure=15.956268, acquisition_time=88.922801, MSE=0.000587
2026-01-09 12:40:11 - INFO - Bayesian Step 3: laser_energy=22.351824, pressure=6.845740, acquisition_time=59.212835, MSE=0.000587
2026-01-09 12:40:12 - INFO - Bayesian Step 4: laser_energy=32.685509, pressure=6.681338, acquisition_time=81.013856, MSE=0.000587
2026-01-09 12:40:13 - INFO - Bayesian Step 5: laser_energy=17.880415, pressure=47.894268, acquisition_time=21.951968, MSE=0.020921
2026-01-09 12:40:14 - INFO - Bayesian Step 6: laser_energy=22.024678, pressure=6.133618, acquisition_time=73.222237, MSE=0.000587
2026-01-09 12:40:15 - INFO - Bayesian Step 7: laser_energy=34.052959, pressure=22.601544, acquisition_time=6.496508, MSE=0.001816
2026-01-09 12:40:15 - INFO - Bayesian Step 8: laser_energy=23.521573, pressure=39.228677, acquisition_time=57.515559, MSE=0.000447
2026-01-09 12:40:16 - INFO - Bayesian Step 9: laser_energy=30.409219, pressure=1.922053, acquisition_time=67.650535, MSE=0.000587
2026-01-09 12:40:17 - INFO - Bayesian Step 10: laser_energy=45.921281, pressure=27.412444, acquisition_time=59.402003, MSE=0.000587
2026-01-09 12:40:18 - INFO - Bayesian Step 11: laser_energy=38.598688, pressure=29.920193, acquisition_time=46.328498, MSE=0.000675
2026-01-09 12:40:19 - INFO - Bayesian Step 12: laser_energy=48.027409, pressure=35.243995, acquisition_time=99.739326, MSE=0.000587
2026-01-09 12:40:20 - INFO - Bayesian Step 13: laser_energy=42.366398, pressure=42.872543, acquisition_time=96.618257, MSE=0.000587
2026-01-09 12:40:21 - INFO - Bayesian Step 14: laser_energy=6.984736, pressure=45.209445, acquisition_time=37.181759, MSE=0.000587
2026-01-09 12:40:22 - INFO - Bayesian Step 15: laser_energy=46.792915, pressure=3.715374, acquisition_time=11.902790, MSE=0.000587
2026-01-09 12:40:23 - INFO - Bayesian Step 16: laser_energy=5.000000, pressure=1.000000, acquisition_time=100.000000, MSE=0.000587
2026-01-09 12:40:24 - INFO - Bayesian Step 17: laser_energy=49.130326, pressure=38.998316, acquisition_time=41.532402, MSE=0.000587
2026-01-09 12:40:25 - INFO - Bayesian Step 18: laser_energy=25.222630, pressure=2.465783, acquisition_time=51.643557, MSE=0.000586
2026-01-09 12:40:26 - INFO - Bayesian Step 19: laser_energy=48.462647, pressure=49.007260, acquisition_time=85.155926, MSE=0.000587
2026-01-09 12:40:27 - INFO - Bayesian Step 20: laser_energy=13.306515, pressure=47.469085, acquisition_time=9.698864, MSE=0.000503
2026-01-09 12:40:28 - INFO - Bayesian Step 21: laser_energy=49.141232, pressure=1.384778, acquisition_time=31.519535, MSE=0.000587
2026-01-09 12:40:29 - INFO - Bayesian Step 22: laser_energy=10.566666, pressure=3.481804, acquisition_time=90.408706, MSE=0.000587
