energy,intensity
97.76732,0.006774828
92.828835,0.007221356
88.18945,0.007498251
83.8307,0.007931462
79.735245,0.008370744
75.88682,0.008891004
72.27017,0.009165008
68.87099,0.00968066
65.67586,0.010317592
62.672165,0.010707731
59.848106,0.011231212
57.19261,0.011720922
54.69525,0.012196305
52.346306,0.012778299
50.136597,0.013399461
48.057564,0.014069863
46.10113,0.014635433
44.25976,0.01524432
42.52636,0.015720446
40.894283,0.016507769
39.357292,0.017281678
37.909534,0.018047089
36.545517,0.018561604
35.260098,0.018929143
34.04844,0.019485379
32.906017,0.020316448
31.828575,0.021186832
30.812122,0.022109803
29.85292,0.022905411
28.947456,0.023759946
28.092442,0.024263227
27.284779,0.024808338
26.521572,0.025535945
25.800108,0.026334515
25.117828,0.027122173
24.472345,0.027793001
23.861408,0.02896141
23.282911,0.029868256
22.734882,0.030875903
22.215462,0.03174501
21.722916,0.032397892
21.255604,0.032546084
20.812004,0.033554032
20.390675,0.03406917
19.990267,0.03544225
19.609518,0.036408342
19.247244,0.03754668
18.902327,0.03830869
18.573725,0.03888863
18.260456,0.039018564
17.961601,0.039688
17.676302,0.039814703
17.403744,0.040563498
17.143167,0.041688725
16.893862,0.0422179
16.655159,0.04291023
16.426428,0.04370681
16.207083,0.043648206
15.996571,0.043722916
15.794373,0.044305656
15.6,0.044997435
15.412999,0.045331217
15.232939,0.046034023
15.05942,0.04622666
14.892062,0.04681935
14.730514,0.046938173
14.574441,0.047266304
14.423531,0.04687918
14.277491,0.047231458
14.136047,0.047626946
13.998942,0.047963627
13.865933,0.048397515
13.73679,0.04909056
13.611302,0.04935629
13.48927,0.049964406
13.3705015,0.050408237
13.254824,0.049916167
13.142069,0.049542684
13.032082,0.050044455
12.924716,0.049307592
12.819836,0.04951259
12.717309,0.04916895
12.617017,0.050078135
12.518845,0.050064526
12.422684,0.05106627
12.328438,0.05145665
12.23601,0.051399924
12.145311,0.051035874
12.056257,0.05117177
11.968773,0.050908316
11.882783,0.05146017
11.798219,0.052229356
11.7150135,0.05219712
11.633108,0.052720796
11.552444,0.052711498
11.472969,0.05253827
11.394629,0.051974785
11.317378,0.05229745
11.241171,0.05200555
11.165965,0.051509805
11.091721,0.050577063
11.018401,0.050517917
10.945969,0.050321113
10.874393,0.050919622
10.803641,0.051454872
10.733684,0.052094884
10.664492,0.053489037
10.596042,0.054623228
10.528306,0.055526823
10.461264,0.056125782
10.394891,0.055820055
10.329167,0.054697853
10.264075,0.054903142
10.199594,0.053860974
10.135705,0.054057084
10.072394,0.055118315
10.0096445,0.05517345
9.947442,0.054787956
9.885775,0.055239987
9.824624,0.055472862
9.763982,0.055556912
9.703834,0.055976152
9.64417,0.05745267
9.584979,0.05685981
9.526253,0.056752644
9.467979,0.057946194
9.410151,0.05857257
9.3527565,0.058504682
9.295791,0.058902293
9.239244,0.05898751
9.183109,0.059189834
9.12738,0.059272576
9.07205,0.05911343
9.01711,0.058748312
8.962557,0.05898428
8.908382,0.058160204
8.854581,0.058759797
8.801149,0.059694476
8.74808,0.060015075
8.69537,0.06071316
8.643014,0.061249085
8.591007,0.060816307
8.539344,0.059524875
8.48802,0.060569685
8.437034,0.06046201
8.38638,0.06056725
8.336055,0.06110724
8.286055,0.061739076
8.236377,0.061890893
8.187016,0.06275221
8.13797,0.06246071
8.089236,0.06324124
8.04081,0.06348656
7.9926906,0.06432335
7.9448724,0.06512209
7.8973556,0.06648006
7.850135,0.0664634
7.80321,0.06728214
7.7565756,0.06754614
7.710231,0.06733953
7.664174,0.06817086
7.6184006,0.06810354
7.57291,0.0672652
7.5276995,0.06733134
7.482766,0.0681241
7.4381084,0.067605
7.3937244,0.06810911
7.349611,0.0687651
7.3057675,0.069476165
7.2621903,0.070043154
7.218879,0.070362724
7.175831,0.070632935
7.133044,0.070954755
7.090517,0.07107286
7.0482473,0.071705304
7.0062337,0.07280946
6.9644732,0.07371556
6.9229665,0.07415752
6.881709,0.07523568
6.840701,0.07637717
6.79994,0.07667469
6.7594247,0.07745679
6.719154,0.07770472
6.679125,0.077354446
6.6393356,0.077544406
6.599786,0.07784394
6.560474,0.07825501
6.5213976,0.079615355
6.482556,0.07891538
6.443947,0.078711614
6.4055705,0.080317594
6.367422,0.081084095
6.3295035,0.08082361
6.291812,0.08257823
6.254346,0.08191104
6.217103,0.081408225
6.1800838,0.08101401
6.1432858,0.08191328
6.106708,0.08210644
6.0703483,0.08295735
6.034206,0.08345424
5.9982805,0.085165516
5.9625683,0.08555375
5.92707,0.08533052
5.891784,0.08602658
5.856708,0.08610753
5.8218417,0.08699767
5.787183,0.08682808
5.752732,0.08690597
5.718485,0.088252395
5.684444,0.08763039
5.650605,0.087512165
5.616968,0.08907118
5.583532,0.08979981
5.550295,0.090533935
5.5172563,0.09015413
5.4844136,0.090627745
5.4517684,0.09003746
5.419316,0.09245386
5.387058,0.09219814
5.3549924,0.093428716
5.3231173,0.09337388
5.2914324,0.09400166
5.2599363,0.09373561
5.228627,0.092559665
5.1975055,0.09262457
