energy,intensity
97.76732,0.07762622
92.828835,0.081630684
88.18945,0.08561191
83.8307,0.08992459
79.735245,0.09498085
75.88682,0.10044873
72.27017,0.1058375
68.87099,0.111630954
65.67586,0.11752651
62.672165,0.12292732
59.848106,0.1282908
57.19261,0.13452694
54.69525,0.14117426
52.346306,0.14739813
50.136597,0.1539235
48.057564,0.16206428
46.10113,0.17001376
44.25976,0.177678
42.52636,0.18509117
40.894283,0.19247809
39.357292,0.19899778
37.909534,0.20763259
36.545517,0.21518338
35.260098,0.22545978
34.04844,0.23446481
32.906017,0.24468067
31.828575,0.25392234
30.812122,0.2631008
29.85292,0.27135974
28.947456,0.28014895
28.092442,0.28789955
27.284779,0.29748702
26.521572,0.3072533
25.800108,0.3175351
25.117828,0.32772258
24.472345,0.33844516
23.861408,0.34625787
23.282911,0.3544242
22.734882,0.36354297
22.215462,0.37295884
21.722916,0.3841584
21.255604,0.39417687
20.812004,0.40411487
20.390675,0.41495967
19.990267,0.42305326
19.609518,0.430971
19.247244,0.43817672
18.902327,0.4469412
18.573725,0.4536746
18.260456,0.46201482
17.961601,0.4714012
17.676302,0.4825452
17.403744,0.4917724
17.143167,0.49992552
16.893862,0.50850743
16.655159,0.5156208
16.426428,0.5222698
16.207083,0.5309523
15.996571,0.5375761
15.794373,0.54510224
15.6,0.5519872
15.412999,0.5604759
15.232939,0.5642387
15.05942,0.5728632
14.892062,0.5808625
14.730514,0.584865
14.574441,0.5879371
14.423531,0.5935848
14.277491,0.59782404
14.136047,0.6034974
13.998942,0.6122111
13.865933,0.61745477
13.73679,0.62167275
13.611302,0.62793803
13.48927,0.62974006
13.3705015,0.63337743
13.254824,0.63868576
13.142069,0.64372313
13.032082,0.64480674
12.924716,0.6464525
12.819836,0.65094763
12.717309,0.65573835
12.617017,0.6593382
12.518845,0.6645087
12.422684,0.66988647
12.328438,0.6790155
12.23601,0.68663895
12.145311,0.69954467
12.056257,0.7085694
11.968773,0.7128986
11.882783,0.712676
11.798219,0.71704507
11.7150135,0.7145703
11.633108,0.71622825
11.552444,0.7221099
11.472969,0.7233118
11.394629,0.72050446
11.317378,0.7270919
11.241171,0.7291767
11.165965,0.7307039
11.091721,0.73716736
11.018401,0.7501186
10.945969,0.7516302
10.874393,0.7557756
10.803641,0.76368463
10.733684,0.76974523
10.664492,0.76819795
10.596042,0.7689086
10.528306,0.77413154
10.461264,0.77964836
10.394891,0.7874229
10.329167,0.78624225
10.264075,0.78726375
10.199594,0.78753865
10.135705,0.7838995
10.072394,0.78550816
10.0096445,0.793917
9.947442,0.79566723
9.885775,0.80254185
9.824624,0.8065015
9.763982,0.80421704
9.703834,0.8005153
9.64417,0.8077282
9.584979,0.80998695
9.526253,0.8175737
9.467979,0.8239872
9.410151,0.8270432
9.3527565,0.83351696
9.295791,0.8417517
9.239244,0.84186995
9.183109,0.84448385
9.12738,0.85027695
9.07205,0.8524189
9.01711,0.8609974
8.962557,0.87256205
8.908382,0.87460554
8.854581,0.8805763
8.801149,0.88526183
8.74808,0.8858142
8.69537,0.8903483
8.643014,0.896078
8.591007,0.8976116
8.539344,0.9045739
8.48802,0.9124406
8.437034,0.90675795
8.38638,0.9110216
8.336055,0.91582423
8.286055,0.921175
8.236377,0.9235551
8.187016,0.92947835
8.13797,0.93597305
8.089236,0.9372999
8.04081,0.93860704
7.9926906,0.9438941
7.9448724,0.9552461
7.8973556,0.9604414
7.850135,0.9660336
7.80321,0.97743034
7.7565756,0.9881784
7.710231,0.9901598
7.664174,0.99288636
7.6184006,1.0013319
7.57291,0.99583215
7.5276995,1.0002686
7.482766,1.0041386
7.4381084,1.0078228
7.3937244,1.0195729
7.349611,1.0249016
7.3057675,1.0324447
7.2621903,1.0552503
7.218879,1.0698355
7.175831,1.0681523
7.133044,1.0810794
7.090517,1.07793
7.0482473,1.0728475
7.0062337,1.0728503
6.9644732,1.0830395
6.9229665,1.0893232
6.881709,1.0979657
6.840701,1.1019981
6.79994,1.1105276
6.7594247,1.1146039
6.719154,1.1154441
6.679125,1.1212587
6.6393356,1.1347642
6.599786,1.1461886
6.560474,1.148405
6.5213976,1.1530576
6.482556,1.1669164
6.443947,1.1662397
6.4055705,1.170958
6.367422,1.1852773
6.3295035,1.193526
6.291812,1.1983662
6.254346,1.2036858
6.217103,1.2104288
6.1800838,1.2094486
6.1432858,1.2320706
6.106708,1.2363565
6.0703483,1.2485502
6.034206,1.2478395
5.9982805,1.2584629
5.9625683,1.2540569
5.92707,1.2610775
5.891784,1.2676432
5.856708,1.2774684
5.8218417,1.2778798
5.787183,1.2812637
5.752732,1.2922211
5.718485,1.3167336
5.684444,1.3225734
5.650605,1.3490119
5.616968,1.3723562
5.583532,1.3777112
5.550295,1.3634424
5.5172563,1.3642313
5.4844136,1.3602111
5.4517684,1.3712885
5.419316,1.4009545
5.387058,1.4082643
5.3549924,1.4232104
5.3231173,1.4415615
5.2914324,1.4317915
5.2599363,1.4218527
5.228627,1.4362037
5.1975055,1.4327798
5.166569,1.4444534
5.135817,1.4567811
5.105248,1.4743289
5.0748606,1.4811523
5.044654,1.489157
5.0146275,1.4856112
4.9847803,1.4910079
4.955111,1.4908433
4.9256177,1.504491
4.8963003,1.520623
4.867158,1.5282348
4.8381886,1.5424919
4.809392,1.5511234
4.7807665,1.552811
4.7523127,1.5602735
4.724026,1.5797684
4.695909,1.5969646
4.667959,1.6121308
4.640177,1.6195905
4.612559,1.6346443
4.585105,1.6260481
4.557816,1.6188837
4.530688,1.6359551
4.5037217,1.6457504
4.4769163,1.6520332
4.450271,1.6717217
4.423784,1.6837022
4.3974533,1.6838688
4.3712807,1.6853065
4.345264,1.7044277
4.3194017,1.6981459
4.293693,1.7056057
4.2681384,1.7171799
4.2427354,1.7435608
4.217483,1.7477977
4.192381,1.7593029
4.16743,1.7837856
4.142626,1.7916594
4.11797,1.7977985
4.09346,1.8021723
4.069097,1.8393927
4.0448785,1.8371118
4.0208044,1.8350989
3.9968739,1.8326323
3.9730854,1.8476288
3.949438,1.8288848
3.925932,1.8339121
3.9025662,1.8512232
3.8793387,1.8570623
3.85625,1.8602669
3.8332987,1.8733006
3.8104842,1.8845165
3.7878044,1.8965677
3.7652605,1.8990456
3.742851,1.9154634
3.7205741,1.9234167
3.6984303,1.934933
3.6764178,1.9718182
3.6545374,1.9883959
3.632786,1.9959009
3.6111646,2.0062413
3.5896719,2.0113707
3.5683074,1.9834989
3.5470698,1.9941458
3.525958,2.0221605
3.5049734,2.0346823
3.484112,2.0360198
3.4633756,2.0398176
3.4427624,2.0456986
3.4222722,2.0367131
3.4019039,2.047626
3.3816562,2.061605
3.3615294,2.073084
3.3415227,2.0850613
3.321635,2.0905442
3.3018653,2.1162667
3.2822137,2.1152105
3.2626784,2.1309934
3.24326,2.1410642
3.2239568,2.1489244
3.2047691,2.1617906
3.1856952,2.1920698
3.1667347,2.1964748
3.1478868,2.2068563
3.1291518,2.2470074
3.1105278,2.2375665
3.0920146,2.2533143
3.0736122,2.2663321
3.0553188,2.300356
3.037134,2.2729764
3.0190578,2.2952502
3.0010896,2.3123822
2.9832275,2.3223302
2.9654722,2.3328047
2.9478228,2.351702
2.930278,2.3523912
2.9128375,2.35999
2.895501,2.382151
2.878268,2.3757112
2.8611374,2.4061902
2.8441086,2.4231517
2.8271809,2.423781
2.8103547,2.4372585
2.7936282,2.4518511
2.7770011,2.42257
2.7604735,2.441287
2.7440438,2.4574924
2.7277122,2.4892564
2.711477,2.5138083
2.6953394,2.5326335
2.6792972,2.5461705
2.663351,2.5532298
2.6474993,2.5509508
2.631742,2.5529706
2.6160786,2.564923
2.6005085,2.5718973
2.5850313,2.5895448
2.5696461,2.5954342
2.5543516,2.6126819
2.5391486,2.6277523
2.524037,2.629666
2.5090146,2.6500442
2.4940815,2.6595016
2.4792366,2.669564
2.4644816,2.6884954
2.4498136,2.7164571
2.4352329,2.7183988
2.420739,2.7220674
2.4063315,2.7311172
2.3920097,2.7669127
2.377773,2.7706432
2.363621,2.7939956
2.3495533,2.861446
2.3355696,2.8891568
2.3216686,2.876408
2.3078513,2.9137814
2.294115,2.9331279
2.280461,2.8997064
2.2668889,2.9068096
2.253397,2.9261484
2.2399855,2.9358823
2.2266536,2.9364908
2.213401,2.938314
2.2002275,2.942696
2.1871324,2.9563284
2.174115,2.9633336
2.1611753,2.9730058
2.1483126,2.9820123
2.1355262,2.9951026
2.1228166,3.0534284
2.1101818,3.0696442
2.0976226,3.1233582
2.0851378,3.1483326
2.0727284,3.1755958
2.060392,3.151582
2.0481286,3.1654854
2.0359385,3.1458907
2.0238216,3.1553903
2.0117764,3.1713927
1.9998028,3.174393
1.9879006,3.2058272
1.9760691,3.2338479
1.9643079,3.271707
1.9526169,3.3039494
1.9409955,3.33646
1.9294431,3.3232944
1.9179596,3.3447075
1.9065444,3.3441517
1.8951972,3.3634076
1.8839173,3.4205742
1.8727047,3.4689937
1.8615594,3.478833
1.8504798,3.5012326
1.8394659,3.5095553
1.8285179,3.5067239
1.8176354,3.5421116
1.8068173,3.582624
1.7960637,3.606502
1.7853739,3.6712387
1.7747478,3.6940389
1.7641851,3.706271
1.753685,3.7077432
1.7432475,3.7082667
1.7328722,3.6944058
1.7225585,3.7080886
1.7123064,3.7056763
1.7021154,3.7398171
1.6919845,3.7699401
1.6819143,3.759676
