energy,intensity
97.76732,0.07275042
92.828835,0.07647983
88.18945,0.08071744
83.8307,0.085503764
79.735245,0.0906246
75.88682,0.09619713
72.27017,0.10197643
68.87099,0.107832536
65.67586,0.11389737
62.672165,0.120051816
59.848106,0.1255953
57.19261,0.13277356
54.69525,0.13973938
52.346306,0.14675954
50.136597,0.15418439
48.057564,0.16269937
46.10113,0.1716846
44.25976,0.17981243
42.52636,0.18809858
40.894283,0.19617414
39.357292,0.20328131
37.909534,0.21230967
36.545517,0.21999526
35.260098,0.23061197
34.04844,0.24022718
32.906017,0.25033396
31.828575,0.26045194
30.812122,0.26989293
29.85292,0.2787109
28.947456,0.28898522
28.092442,0.29803938
27.284779,0.30856624
26.521572,0.3199117
25.800108,0.33094183
25.117828,0.34253496
24.472345,0.35436082
23.861408,0.36276376
23.282911,0.3719644
22.734882,0.38125032
22.215462,0.39225775
21.722916,0.40269056
21.255604,0.41530442
20.812004,0.4252738
20.390675,0.43733984
19.990267,0.4482809
19.609518,0.4578743
19.247244,0.4671721
18.902327,0.47661933
18.573725,0.48614702
18.260456,0.494726
17.961601,0.50441396
17.676302,0.5155974
17.403744,0.5248412
17.143167,0.53400564
16.893862,0.5413699
16.655159,0.54773265
16.426428,0.5545633
16.207083,0.5646692
15.996571,0.57246363
15.794373,0.5815405
15.6,0.59223336
15.412999,0.60111606
15.232939,0.6088894
15.05942,0.6175458
14.892062,0.6289749
14.730514,0.6353795
14.574441,0.64148563
14.423531,0.64789504
14.277491,0.6524863
14.136047,0.65880936
13.998942,0.6665076
13.865933,0.66923255
13.73679,0.6743604
13.611302,0.6776947
13.48927,0.6816707
13.3705015,0.6856607
13.254824,0.69164467
13.142069,0.6950352
13.032082,0.69822466
12.924716,0.69941455
12.819836,0.7052499
12.717309,0.71104985
12.617017,0.716126
12.518845,0.7201166
12.422684,0.72604185
12.328438,0.73630756
12.23601,0.74400735
12.145311,0.7573415
12.056257,0.765226
11.968773,0.76948357
11.882783,0.7688143
11.798219,0.7729699
11.7150135,0.7707682
11.633108,0.7771944
11.552444,0.7831243
11.472969,0.78652245
11.394629,0.7856802
11.317378,0.7924557
11.241171,0.7934322
11.165965,0.79565233
11.091721,0.80124027
11.018401,0.810661
10.945969,0.81177664
10.874393,0.8151151
10.803641,0.8223364
10.733684,0.8274253
10.664492,0.8247533
10.596042,0.8251435
10.528306,0.8308662
10.461264,0.83507955
10.394891,0.84348744
10.329167,0.8474475
10.264075,0.8526801
10.199594,0.8570733
10.135705,0.85358584
10.072394,0.8559211
10.0096445,0.8625935
9.947442,0.8641887
9.885775,0.87075555
9.824624,0.87232924
9.763982,0.87268627
9.703834,0.8706072
9.64417,0.877048
9.584979,0.8789768
9.526253,0.88225955
9.467979,0.88646173
9.410151,0.88758487
9.3527565,0.893964
9.295791,0.8977226
9.239244,0.8988124
9.183109,0.9003502
9.12738,0.9050514
9.07205,0.90320206
9.01711,0.91370165
8.962557,0.926398
8.908382,0.92599547
8.854581,0.93556106
8.801149,0.9397546
8.74808,0.93665045
8.69537,0.94333124
8.643014,0.9503907
8.591007,0.9468398
8.539344,0.9505259
8.48802,0.9576432
8.437034,0.94999427
8.38638,0.9515731
8.336055,0.9571435
8.286055,0.9648485
8.236377,0.9657273
8.187016,0.9701298
8.13797,0.97919095
8.089236,0.9813172
8.04081,0.98072064
7.9926906,0.98407924
7.9448724,0.9916485
7.8973556,0.99448663
7.850135,1.0000985
