energy_MeV,intensity,intensity_std
97.76732,0.004522970487878789,0.0005073004085732574
92.828835,0.004712591242424243,0.0005307315557428491
88.18945,0.004987847772727273,0.0005573936169544606
83.8307,0.005264525754545454,0.0005839070792062792
79.735245,0.0054682346454545455,0.0006147710253104475
75.88682,0.005812138100000001,0.0006612651363480772
72.27017,0.005986452393939396,0.000693265491678085
68.87099,0.006465604203030302,0.0007300165286039586
65.67586,0.006830616481818181,0.0007608002274084233
62.672165,0.007136027942424242,0.0007868474813223632
59.848106,0.007252915593939393,0.0008361309154101168
57.19261,0.007761199209090911,0.0008849637122688884
54.69525,0.007852273039393938,0.0009092975258604432
52.346306,0.00795033804848485,0.0009475388671597044
50.136597,0.0084026350030303,0.0009845937419500179
48.057564,0.008907041696969696,0.0010103476818477753
46.10113,0.009242526557575759,0.001044648072395592
44.25976,0.00985964113636364,0.0011154967419800992
42.52636,0.010299067057575755,0.0011608278127463584
40.894283,0.01052029012121212,0.0012101158341429302
39.357292,0.010852522,0.0012510926209552762
37.909534,0.01142352018181818,0.0013259083801098505
36.545517,0.011709195348484849,0.0013550888092766673
35.260098,0.012137931757575757,0.001412306581221361
34.04844,0.01279364533333333,0.0014539698575402869
32.906017,0.013205690439393937,0.0015126076520144383
31.828575,0.013220669666666667,0.001583395280177277
30.812122,0.013454911045454545,0.0016472897625108218
29.85292,0.01426858115151515,0.0017240351751962668
28.947456,0.014390078757575758,0.001780750523402248
28.092442,0.014976199227272727,0.001827258395157425
27.284779,0.01545946209090909,0.001888258208191125
26.521572,0.015942114196969698,0.001917771411805498
25.800108,0.01620355815151515,0.001955969524840533
25.117828,0.016705065469696967,0.0020020504964714
24.472345,0.01708494209090909,0.0020388821406409066
23.861408,0.017644653242424244,0.002103017983889575
23.282911,0.01831382678787879,0.002151025214320129
22.734882,0.018452124666666667,0.0021957706103656535
22.215462,0.019343476121212115,0.0022526090379143423
21.722916,0.02017081909090909,0.0023229427710894143
21.255604,0.020682655939393942,0.0023539754657770154
20.812004,0.02115471178787879,0.0024618060271721404
20.390675,0.021996795787878786,0.0025181936694294565
19.990267,0.022284280393939395,0.0025456492639240676
19.609518,0.022649025151515147,0.0025940338563611243
19.247244,0.023192024121212122,0.0026406771573552843
18.902327,0.023667639151515155,0.0026791155052331836
18.573725,0.023862291454545458,0.0026800306515415203
18.260456,0.023956321515151514,0.002757117537282327
17.961601,0.024449319030303025,0.0028198731625880286
17.676302,0.02457298536363636,0.0028755174713041443
17.403744,0.02484774351515152,0.002922628515683205
17.143167,0.02520744615151515,0.0029852200256216756
16.893862,0.025410641515151513,0.0030485629360567142
16.655159,0.02584622221212121,0.0030986033681389895
16.426428,0.026467525363636366,0.003128505583094944
