energy_MeV,intensity
9.776731872558593750e+01,0.000000000000000000e+00
9.282883453369140625e+01,0.000000000000000000e+00
8.818945312500000000e+01,0.000000000000000000e+00
8.383070373535156250e+01,0.000000000000000000e+00
7.973524475097656250e+01,0.000000000000000000e+00
7.588681793212890625e+01,0.000000000000000000e+00
7.227017211914062500e+01,0.000000000000000000e+00
6.887098693847656250e+01,0.000000000000000000e+00
6.567585754394531250e+01,0.000000000000000000e+00
6.267216491699218750e+01,0.000000000000000000e+00
5.984810638427734375e+01,0.000000000000000000e+00
5.719261169433593750e+01,0.000000000000000000e+00
5.469525146484375000e+01,0.000000000000000000e+00
5.234630584716796875e+01,0.000000000000000000e+00
5.013659667968750000e+01,0.000000000000000000e+00
4.805756378173828125e+01,0.000000000000000000e+00
4.610113143920898438e+01,0.000000000000000000e+00
4.425976181030273438e+01,0.000000000000000000e+00
4.252635955810546875e+01,0.000000000000000000e+00
4.089428329467773438e+01,0.000000000000000000e+00
3.935729217529296875e+01,0.000000000000000000e+00
3.790953445434570312e+01,0.000000000000000000e+00
3.654551696777343750e+01,0.000000000000000000e+00
3.526009750366210938e+01,0.000000000000000000e+00
3.404843902587890625e+01,0.000000000000000000e+00
3.290601730346679688e+01,0.000000000000000000e+00
3.182857513427734375e+01,0.000000000000000000e+00
3.081212234497070312e+01,3.109737735940143466e-05
2.985292053222656250e+01,7.459873449988663197e-05
2.894745635986328125e+01,2.238913875771686435e-04
2.809244155883789062e+01,4.209063481539487839e-04
2.728477859497070312e+01,6.471928791143000126e-04
2.652157211303710938e+01,9.178913314826786518e-04
2.580010795593261719e+01,1.138648018240928650e-03
2.511782836914062500e+01,1.322599011473357677e-03
2.447234535217285156e+01,1.462876563891768456e-03
2.386140823364257812e+01,1.629480975680053234e-03
2.328291130065917969e+01,1.941860420629382133e-03
2.273488235473632812e+01,2.631409326568245888e-03
2.221546173095703125e+01,4.168172832578420639e-03
2.172291564941406250e+01,6.759330630302429199e-03
2.125560379028320312e+01,1.022326666861772537e-02
2.081200408935546875e+01,1.423092745244503021e-02
2.039067459106445312e+01,1.832825317978858948e-02
1.999026679992675781e+01,2.176293358206748962e-02
1.960951805114746094e+01,2.485018409788608551e-02
1.924724388122558594e+01,2.776739932596683502e-02
1.890232658386230469e+01,3.125132247805595398e-02
1.857372474670410156e+01,3.525523468852043152e-02
1.826045608520507812e+01,4.034082964062690735e-02
1.796160125732421875e+01,4.600824415683746338e-02
1.767630195617675781e+01,5.156847089529037476e-02
1.740374374389648438e+01,5.628007277846336365e-02
1.714316749572753906e+01,6.013018265366554260e-02
1.689386177062988281e+01,6.249814480543136597e-02
1.665515899658203125e+01,6.350079178810119629e-02
1.642642784118652344e+01,6.317052245140075684e-02
1.620708274841308594e+01,6.246118620038032532e-02
