energy_MeV,intensity
5.856708049774169922e+00,9.566446393728256226e-02
5.821841716766357422e+00,9.514374285936355591e-02
5.787182807922363281e+00,9.422341734170913696e-02
5.752731800079345703e+00,9.314870834350585938e-02
5.718484878540039062e+00,9.219209849834442139e-02
5.684443950653076172e+00,9.178552031517028809e-02
5.650605201721191406e+00,9.230243414640426636e-02
5.616968154907226562e+00,9.419040381908416748e-02
5.583531856536865234e+00,9.730508923530578613e-02
5.550294876098632812e+00,1.010084077715873718e-01
5.517256259918212891e+00,1.045692041516304016e-01
5.484413623809814453e+00,1.072014570236206055e-01
5.451768398284912109e+00,1.084464341402053833e-01
5.419315814971923828e+00,1.084292232990264893e-01
5.387057781219482422e+00,1.078129112720489502e-01
5.354992389678955078e+00,1.072947606444358826e-01
5.323117256164550781e+00,1.072220280766487122e-01
5.291432380676269531e+00,1.079781353473663330e-01
5.259936332702636719e+00,1.093969270586967468e-01
5.228627204895019531e+00,1.108621731400489807e-01
5.197505474090576172e+00,1.119823083281517029e-01
5.166569232940673828e+00,1.124425977468490601e-01
5.135817050933837891e+00,1.122005730867385864e-01
5.105247974395751953e+00,1.115140914916992188e-01
5.074860572814941406e+00,1.108425706624984741e-01
5.044653892517089844e+00,1.105421036481857300e-01
5.014627456665039062e+00,1.108400449156761169e-01
4.984780311584472656e+00,1.117166951298713684e-01
4.955111026763916016e+00,1.129569560289382935e-01
4.925617694854736328e+00,1.141197010874748230e-01
4.896300315856933594e+00,1.150266677141189575e-01
4.867157936096191406e+00,1.156594678759574890e-01
4.838188648223876953e+00,1.160254254937171936e-01
4.809391975402832031e+00,1.163157597184181213e-01
4.780766487121582031e+00,1.166359856724739075e-01
4.752312660217285156e+00,1.168693527579307556e-01
4.724026203155517578e+00,1.168453618884086609e-01
4.695909023284912109e+00,1.166999787092208862e-01
4.667959213256835938e+00,1.166014149785041809e-01
4.640176773071289062e+00,1.167117431759834290e-01
4.612558841705322266e+00,1.173213794827461243e-01
4.585104942321777344e+00,1.183225661516189575e-01
4.557816028594970703e+00,1.196191236376762390e-01
4.530687808990478516e+00,1.208097040653228760e-01
4.503721714019775391e+00,1.217824518680572510e-01
4.476916313171386719e+00,1.222732514142990112e-01
4.450271129608154297e+00,1.223567724227905273e-01
4.423783779144287109e+00,1.222098618745803833e-01
4.397453308105468750e+00,1.221722513437271118e-01
4.371280670166015625e+00,1.225378215312957764e-01
4.345263957977294922e+00,1.234034970402717590e-01
