energy_MeV,intensity,intensity_std
97.76732,0.007233135488235294,0.002000854482788574
92.828835,0.007776570305882351,0.0021612619162773698
88.18945,0.008455405579411766,0.002332669037265693
83.8307,0.009057698979411765,0.0025130503428083617
79.735245,0.009750769402941176,0.002692766672436389
75.88682,0.010496195750000001,0.0028770082047281987
72.27017,0.011271797826470592,0.003074375073615415
68.87099,0.011972583926470588,0.003272455350687193
65.67586,0.012796515147058825,0.003458894696147646
62.672165,0.013645801691176473,0.0036508690754089254
59.848106,0.014395055852941176,0.003853776323016798
57.19261,0.015270455455882355,0.004067160628957358
54.69525,0.01621914963235294,0.0042759495577885725
52.346306,0.01719560391176471,0.004473457111042522
50.136597,0.01815788354411765,0.004682773935021453
48.057564,0.01927629623529412,0.004912953911222267
46.10113,0.020381773573529414,0.0051360921966890835
44.25976,0.02156896013235294,0.005383408538010076
42.52636,0.02286726998529412,0.005622913294583285
40.894283,0.024119080470588233,0.005885037849104033
39.357292,0.02544301264705882,0.006156864392680818
37.909534,0.02684061144117647,0.0064193532598552285
36.545517,0.028302949911764703,0.0067184768529284285
35.260098,0.029347170647058825,0.0069725764458801985
34.04844,0.030763759999999998,0.007243309608530465
32.906017,0.03212505767647059,0.007537218737362116
31.828575,0.03334717079411764,0.007827383546234854
30.812122,0.034728523117647056,0.008124475780478846
29.85292,0.03618480567647059,0.008423767846485096
28.947456,0.037618994176470584,0.008721863079317962
28.092442,0.03898801058823529,0.009022585786212161
27.284779,0.04053963611764705,0.009353621612271403
26.521572,0.04184081588235294,0.009660325510194082
25.800108,0.04339313750000001,0.009965892730303108
25.117828,0.04496281726470589,0.010314390067362459
24.472345,0.046438266941176476,0.010657377283031951
23.861408,0.04786282038235295,0.010973643443799148
23.282911,0.04940912094117647,0.011369340155489124
22.734882,0.0508299880882353,0.011719665663616095
22.215462,0.052167084323529414,0.012070408781579224
21.722916,0.05360917302941176,0.012423258423777084
21.255604,0.05518144294117648,0.012713316566538475
20.812004,0.056713960588235274,0.01305901502892563
20.390675,0.05806768802941176,0.013397926620304387
19.990267,0.059639741823529414,0.013700610469506507
19.609518,0.06135576997058824,0.014025432664495274
19.247244,0.06259389741176472,0.014385711651272299
18.902327,0.06373437344117648,0.01472267706944809
18.573725,0.06508345329411765,0.015073273494405175
18.260456,0.06624330264705883,0.015409163583502281
17.961601,0.06745258585294119,0.01577229081926293
17.676302,0.0686694522647059,0.016068697923281586
17.403744,0.06996530914705881,0.01644330923518573
17.143167,0.07144269138235293,0.016790204050959438
16.893862,0.07246851870588235,0.017159874776122318
16.655159,0.0734250155,0.017477630306014093
16.426428,0.07467056811764705,0.017838143532577753
16.207083,0.07601544744117644,0.018165367202041174
15.996571,0.07720084197058824,0.01848129226005837
15.794373,0.0783657505,0.018786975329583466
15.6,0.0797915392352941,0.01910366556079689
15.412999,0.08098495699999998,0.01944397730551705
15.232939,0.08207692888235295,0.01980737237246214
15.05942,0.08298361561764704,0.020133665855921506
14.892062,0.08410419749999998,0.020403137378828096
14.730514,0.08523766750000002,0.020680753307446245
14.574441,0.08612258655882352,0.02099507768579691
14.423531,0.08695032055882351,0.021276436320351155
14.277491,0.08783072911764708,0.021613604296761676
14.136047,0.08893104470588235,0.0218749887013176
13.998942,0.0890814171764706,0.022194626237515638
13.865933,0.09007850544117646,0.022444301116788117
13.73679,0.09017387985294117,0.022684337334717326
13.611302,0.09101307470588235,0.022902418187971996
13.48927,0.09147994155882355,0.02314667332900089
13.3705015,0.09223340582352943,0.023454740124213332
13.254824,0.09241836752941177,0.023688174422812187
13.142069,0.09285675708823529,0.02391830623265263
13.032082,0.09336082414705885,0.02411784666129286
12.924716,0.09381143973529413,0.024352954912550177
12.819836,0.09432467894117647,0.024508875931745073
