energy,intensity
97.76732,0.003259201
92.828835,0.0034443322
88.18945,0.0036378882
83.8307,0.0038487096
79.735245,0.0039506997
75.88682,0.004189353
72.27017,0.004333646
68.87099,0.004653048
65.67586,0.004901548
62.672165,0.0051364643
59.848106,0.005227066
57.19261,0.005596819
54.69525,0.0056464383
52.346306,0.005760993
50.136597,0.0060873707
48.057564,0.006418761
46.10113,0.006667516
44.25976,0.0071173
42.52636,0.0073988624
40.894283,0.0076141856
39.357292,0.007911537
37.909534,0.008367024
36.545517,0.008609721
35.260098,0.008964809
34.04844,0.00935853
32.906017,0.009716562
31.828575,0.00980576
30.812122,0.009964152
29.85292,0.010576408
28.947456,0.010643654
28.092442,0.011071068
27.284779,0.011358838
26.521572,0.011726808
25.800108,0.011970235
25.117828,0.012295384
24.472345,0.012515759
23.861408,0.012790529
23.282911,0.013295588
22.734882,0.013392342
22.215462,0.014212474
21.722916,0.014668536
21.255604,0.015179058
20.812004,0.015554966
20.390675,0.016018925
19.990267,0.016248908
19.609518,0.016582934
19.247244,0.016857306
18.902327,0.017068798
18.573725,0.017253406
18.260456,0.017310632
17.961601,0.017841395
17.676302,0.01800603
17.403744,0.018183637
17.143167,0.01852361
16.893862,0.01871094
16.655159,0.018848214
16.426428,0.019265499
16.207083,0.019750418
15.996571,0.01994219
15.794373,0.020749586
15.6,0.020728631
15.412999,0.020980125
15.232939,0.021180417
15.05942,0.02197938
14.892062,0.022445964
14.730514,0.023111437
14.574441,0.023832591
14.423531,0.024459798
14.277491,0.024888124
14.136047,0.025599804
13.998942,0.027563516
13.865933,0.030736485
13.73679,0.033485267
13.611302,0.034621473
13.48927,0.037008673
13.3705015,0.03951136
13.254824,0.041665338
13.142069,0.042879865
13.032082,0.045109708
12.924716,0.047705244
12.819836,0.04900245
12.717309,0.050454605
12.617017,0.052698664
12.518845,0.054563086
12.422684,0.056126088
12.328438,0.058176078
12.23601,0.05876399
12.145311,0.059172917
12.056257,0.060031902
11.968773,0.06107784
11.882783,0.060938876
11.798219,0.06156043
11.7150135,0.062245775
11.633108,0.062465407
11.552444,0.06321607
11.472969,0.063368954
11.394629,0.063900284
11.317378,0.06401542
11.241171,0.064611
11.165965,0.06494856
11.091721,0.06564536
11.018401,0.06601624
10.945969,0.0664199
10.874393,0.06689048
10.803641,0.067261286
10.733684,0.067970455
10.664492,0.06851367
10.596042,0.068956256
10.528306,0.07012461
10.461264,0.07043509
10.394891,0.07088483
10.329167,0.071652435
10.264075,0.07249623
10.199594,0.07206399
10.135705,0.07269747
10.072394,0.07344298
10.0096445,0.073395215
9.947442,0.07356196
9.885775,0.07409434
9.824624,0.07451855
9.763982,0.07460926
9.703834,0.07540869
9.64417,0.075950556
9.584979,0.07683655
9.526253,0.07742463
9.467979,0.07736392
9.410151,0.07745324
9.3527565,0.078161635
9.295791,0.07828885
9.239244,0.07774554
9.183109,0.07833949
9.12738,0.078658566
9.07205,0.07909827
9.01711,0.07921755
8.962557,0.07949704
8.908382,0.08010284
8.854581,0.08026129
8.801149,0.08004675
8.74808,0.08003394
8.69537,0.080059476
8.643014,0.0798298
8.591007,0.07993243
8.539344,0.07977779
8.48802,0.07996054
8.437034,0.07953941
8.38638,0.07928332
8.336055,0.079195336
8.286055,0.07962938
8.236377,0.07944797
8.187016,0.07908377
8.13797,0.07978362
8.089236,0.08035411
8.04081,0.07988915
7.9926906,0.07991552
7.9448724,0.08025932
7.8973556,0.08065021
7.850135,0.081042774
7.80321,0.08129732
7.7565756,0.08103663
7.710231,0.08062837
7.664174,0.079690695
7.6184006,0.07935875
7.57291,0.07854005
7.5276995,0.07862562
7.482766,0.077980965
7.4381084,0.07844916
7.3937244,0.07793727
7.349611,0.07771296
7.3057675,0.07778148
7.2621903,0.07804808
7.218879,0.07806337
7.175831,0.07832914
7.133044,0.078748055
7.090517,0.07886167
7.0482473,0.07912842
7.0062337,0.07903248
6.9644732,0.07955854
6.9229665,0.07919581
6.881709,0.078509085
6.840701,0.07759877
6.79994,0.07817079
6.7594247,0.0788006
6.719154,0.07932695
6.679125,0.08067275
6.6393356,0.081429824
6.599786,0.08081676
6.560474,0.079861104
6.5213976,0.08011678
6.482556,0.07902748
6.443947,0.07859883
6.4055705,0.07952349
6.367422,0.0798858
6.3295035,0.080766216
6.291812,0.08096132
6.254346,0.08086537
6.217103,0.08199264
6.1800838,0.08166071
6.1432858,0.08126271
6.106708,0.08228492
6.0703483,0.08331648
6.034206,0.08255105
