2026-01-08 21:50:37 - INFO - Starting Spectrum Matching Optimization - Seed: 40397
2026-01-08 21:50:38 - INFO - Bayesian Step 1: laser_energy=15.272220, pressure=45.897018, acquisition_time=12.034748, MSE=0.010134
2026-01-08 21:50:39 - INFO - Bayesian Step 2: laser_energy=14.375239, pressure=28.053104, acquisition_time=92.236329, MSE=0.000587
2026-01-08 21:50:39 - INFO - Bayesian Step 3: laser_energy=6.781256, pressure=21.388955, acquisition_time=46.507211, MSE=0.000428
2026-01-08 21:50:40 - INFO - Bayesian Step 4: laser_energy=12.872352, pressure=12.198227, acquisition_time=97.636565, MSE=0.000587
2026-01-08 21:50:41 - INFO - Bayesian Step 5: laser_energy=45.727561, pressure=7.860132, acquisition_time=93.617920, MSE=0.000587
2026-01-08 21:50:42 - INFO - Bayesian Step 6: laser_energy=30.596574, pressure=44.731783, acquisition_time=17.463065, MSE=0.150645
2026-01-08 21:50:43 - INFO - Bayesian Step 7: laser_energy=22.549505, pressure=38.652747, acquisition_time=26.411220, MSE=0.112317
2026-01-08 21:50:43 - INFO - Bayesian Step 8: laser_energy=36.531874, pressure=7.832639, acquisition_time=50.015017, MSE=0.000576
2026-01-08 21:50:44 - INFO - Bayesian Step 9: laser_energy=27.308001, pressure=21.406209, acquisition_time=46.567637, MSE=0.015835
2026-01-08 21:50:45 - INFO - Bayesian Step 10: laser_energy=46.578751, pressure=43.665922, acquisition_time=56.636286, MSE=0.000587
2026-01-08 21:50:46 - INFO - Bayesian Step 11: laser_energy=35.017417, pressure=47.249504, acquisition_time=34.990865, MSE=0.008133
2026-01-08 21:50:47 - INFO - Bayesian Step 12: laser_energy=8.662942, pressure=39.475504, acquisition_time=8.901556, MSE=0.000498
2026-01-08 21:50:48 - INFO - Bayesian Step 13: laser_energy=5.407477, pressure=48.009572, acquisition_time=39.240550, MSE=0.000587
2026-01-08 21:50:49 - INFO - Bayesian Step 14: laser_energy=15.733886, pressure=5.232840, acquisition_time=80.973238, MSE=0.000587
2026-01-08 21:50:50 - INFO - Bayesian Step 15: laser_energy=43.362958, pressure=42.970239, acquisition_time=85.956621, MSE=0.000587
2026-01-08 21:50:51 - INFO - Bayesian Step 16: laser_energy=29.502610, pressure=7.183544, acquisition_time=100.000000, MSE=0.000587
2026-01-08 21:50:52 - INFO - Bayesian Step 17: laser_energy=38.861056, pressure=38.435242, acquisition_time=72.863647, MSE=0.000587
2026-01-08 21:50:53 - INFO - Bayesian Step 18: laser_energy=10.751173, pressure=11.165280, acquisition_time=64.945923, MSE=0.000450
2026-01-08 21:50:54 - INFO - Bayesian Step 19: laser_energy=38.554488, pressure=50.000000, acquisition_time=40.089426, MSE=0.000454
2026-01-08 21:50:55 - INFO - Bayesian Step 20: laser_energy=49.983634, pressure=35.973955, acquisition_time=68.864979, MSE=0.000587
2026-01-08 21:50:56 - INFO - Bayesian Step 21: laser_energy=49.984593, pressure=6.531908, acquisition_time=5.000000, MSE=0.000587
2026-01-08 21:50:57 - INFO - Bayesian Step 22: laser_energy=5.000000, pressure=50.000000, acquisition_time=76.935890, MSE=0.000587
