2026-01-08 23:36:22 - INFO - Starting Spectrum Matching Optimization - Seed: 67563
2026-01-08 23:36:23 - INFO - Bayesian Step 1: laser_energy=32.435771, pressure=1.260972, acquisition_time=36.404921, MSE=0.002722
2026-01-08 23:36:24 - INFO - Bayesian Step 2: laser_energy=37.144782, pressure=8.331060, acquisition_time=52.601654, MSE=0.000585
2026-01-08 23:36:25 - INFO - Bayesian Step 3: laser_energy=30.054594, pressure=17.931427, acquisition_time=68.153943, MSE=0.000587
2026-01-08 23:36:25 - INFO - Bayesian Step 4: laser_energy=25.355261, pressure=40.243527, acquisition_time=6.052480, MSE=0.177661
2026-01-08 23:36:26 - INFO - Bayesian Step 5: laser_energy=17.152436, pressure=22.942233, acquisition_time=74.013612, MSE=0.000587
2026-01-08 23:36:27 - INFO - Bayesian Step 6: laser_energy=13.448979, pressure=7.711602, acquisition_time=80.089057, MSE=0.000586
2026-01-08 23:36:28 - INFO - Bayesian Step 7: laser_energy=48.119619, pressure=10.416246, acquisition_time=15.774592, MSE=0.000586
2026-01-08 23:36:29 - INFO - Bayesian Step 8: laser_energy=47.080579, pressure=26.565437, acquisition_time=31.254465, MSE=0.000569
2026-01-08 23:36:29 - INFO - Bayesian Step 9: laser_energy=12.634977, pressure=39.584554, acquisition_time=24.018163, MSE=0.004435
2026-01-08 23:36:30 - INFO - Bayesian Step 10: laser_energy=6.250348, pressure=8.110389, acquisition_time=79.496972, MSE=0.000585
2026-01-08 23:36:31 - INFO - Bayesian Step 11: laser_energy=47.438787, pressure=6.970231, acquisition_time=41.267236, MSE=0.000587
2026-01-08 23:36:32 - INFO - Bayesian Step 12: laser_energy=5.000000, pressure=50.000000, acquisition_time=100.000000, MSE=0.000587
2026-01-08 23:36:33 - INFO - Bayesian Step 13: laser_energy=41.406798, pressure=8.716257, acquisition_time=66.026636, MSE=0.000587
2026-01-08 23:36:34 - INFO - Bayesian Step 14: laser_energy=50.000000, pressure=1.000000, acquisition_time=18.717092, MSE=0.000587
2026-01-08 23:36:35 - INFO - Bayesian Step 15: laser_energy=5.000000, pressure=15.282666, acquisition_time=22.397314, MSE=0.000539
2026-01-08 23:36:36 - INFO - Bayesian Step 16: laser_energy=9.193177, pressure=1.000000, acquisition_time=5.000000, MSE=0.000580
2026-01-08 23:36:37 - INFO - Bayesian Step 17: laser_energy=43.854062, pressure=4.424270, acquisition_time=98.440878, MSE=0.000587
2026-01-08 23:36:38 - INFO - Bayesian Step 18: laser_energy=15.581714, pressure=50.000000, acquisition_time=5.000000, MSE=0.004231
2026-01-08 23:36:39 - INFO - Bayesian Step 19: laser_energy=39.118143, pressure=39.611141, acquisition_time=9.869302, MSE=0.001189
2026-01-08 23:36:40 - INFO - Bayesian Step 20: laser_energy=35.016516, pressure=50.000000, acquisition_time=100.000000, MSE=0.000587
2026-01-08 23:36:41 - INFO - Bayesian Step 21: laser_energy=30.993752, pressure=50.000000, acquisition_time=100.000000, MSE=0.000587
2026-01-08 23:36:42 - INFO - Bayesian Step 22: laser_energy=18.870416, pressure=6.051932, acquisition_time=65.768730, MSE=0.000587
2026-01-08 23:36:43 - INFO - Bayesian Step 23: laser_energy=7.841152, pressure=50.000000, acquisition_time=5.000000, MSE=0.000587
2026-01-08 23:36:44 - INFO - Bayesian Step 24: laser_energy=45.266738, pressure=1.000000, acquisition_time=100.000000, MSE=0.000587
2026-01-08 23:36:45 - INFO - Bayesian Step 25: laser_energy=18.115302, pressure=50.000000, acquisition_time=5.000000, MSE=0.026228
2026-01-08 23:36:47 - INFO - Bayesian Step 26: laser_energy=16.122940, pressure=1.000000, acquisition_time=89.949600, MSE=0.000587
