2026-01-08 17:48:00 - INFO - Starting Spectrum Matching Optimization - Seed: 67969
2026-01-08 17:48:01 - INFO - Bayesian Step 1: laser_energy=15.230288, pressure=49.759793, acquisition_time=53.201187, MSE=0.000563
2026-01-08 17:48:01 - INFO - Bayesian Step 2: laser_energy=9.439484, pressure=35.786663, acquisition_time=85.626160, MSE=0.000587
2026-01-08 17:48:02 - INFO - Bayesian Step 3: laser_energy=32.915477, pressure=4.537888, acquisition_time=62.547565, MSE=0.000587
2026-01-08 17:48:03 - INFO - Bayesian Step 4: laser_energy=44.621368, pressure=5.523460, acquisition_time=67.653077, MSE=0.000587
2026-01-08 17:48:04 - INFO - Bayesian Step 5: laser_energy=19.482806, pressure=21.446319, acquisition_time=8.930649, MSE=0.005068
2026-01-08 17:48:05 - INFO - Bayesian Step 6: laser_energy=19.825314, pressure=32.567781, acquisition_time=43.613584, MSE=0.020007
2026-01-08 17:48:05 - INFO - Bayesian Step 7: laser_energy=32.886870, pressure=30.940694, acquisition_time=71.456516, MSE=0.000584
2026-01-08 17:48:06 - INFO - Bayesian Step 8: laser_energy=15.946846, pressure=40.721334, acquisition_time=38.558670, MSE=0.005544
2026-01-08 17:48:07 - INFO - Bayesian Step 9: laser_energy=27.222121, pressure=12.466187, acquisition_time=88.906342, MSE=0.000587
2026-01-08 17:48:08 - INFO - Bayesian Step 10: laser_energy=11.631963, pressure=48.643196, acquisition_time=56.849634, MSE=0.000582
2026-01-08 17:48:09 - INFO - Bayesian Step 11: laser_energy=39.396273, pressure=48.784251, acquisition_time=77.426920, MSE=0.000587
2026-01-08 17:48:10 - INFO - Bayesian Step 12: laser_energy=48.356346, pressure=49.873363, acquisition_time=30.417664, MSE=0.000587
2026-01-08 17:48:11 - INFO - Bayesian Step 13: laser_energy=14.530232, pressure=17.097459, acquisition_time=62.163372, MSE=0.000423
2026-01-08 17:48:12 - INFO - Bayesian Step 14: laser_energy=47.746184, pressure=18.308313, acquisition_time=99.994959, MSE=0.000587
2026-01-08 17:48:13 - INFO - Bayesian Step 15: laser_energy=12.112456, pressure=9.244295, acquisition_time=21.711061, MSE=0.000536
2026-01-08 17:48:14 - INFO - Bayesian Step 16: laser_energy=10.964052, pressure=40.479243, acquisition_time=94.723174, MSE=0.000587
2026-01-08 17:48:15 - INFO - Bayesian Step 17: laser_energy=45.257779, pressure=47.843401, acquisition_time=16.027229, MSE=0.000587
2026-01-08 17:48:16 - INFO - Bayesian Step 18: laser_energy=5.312896, pressure=5.145172, acquisition_time=26.108246, MSE=0.000570
2026-01-08 17:48:17 - INFO - Bayesian Step 19: laser_energy=16.627627, pressure=49.963038, acquisition_time=5.016227, MSE=0.012016
2026-01-08 17:48:18 - INFO - Bayesian Step 20: laser_energy=47.048607, pressure=1.906356, acquisition_time=34.411586, MSE=0.000587
2026-01-08 17:48:19 - INFO - Bayesian Step 21: laser_energy=15.237712, pressure=7.634476, acquisition_time=81.378236, MSE=0.000587
2026-01-08 17:48:20 - INFO - Bayesian Step 22: laser_energy=5.285159, pressure=34.597456, acquisition_time=12.716690, MSE=0.000577
2026-01-08 17:48:21 - INFO - Bayesian Step 23: laser_energy=5.101113, pressure=3.366110, acquisition_time=97.475210, MSE=0.000587
2026-01-08 17:48:22 - INFO - Bayesian Step 24: laser_energy=37.289537, pressure=10.136807, acquisition_time=49.706164, MSE=0.000584
2026-01-08 17:48:23 - INFO - Bayesian Step 25: laser_energy=8.994828, pressure=3.004363, acquisition_time=74.460938, MSE=0.000586
2026-01-08 17:48:24 - INFO - Bayesian Step 26: laser_energy=49.786334, pressure=37.849276, acquisition_time=91.770028, MSE=0.000587
2026-01-08 17:48:25 - INFO - Bayesian Step 27: laser_energy=40.143325, pressure=7.652969, acquisition_time=18.957966, MSE=0.001724
2026-01-08 17:48:26 - INFO - Bayesian Step 28: laser_energy=46.900308, pressure=6.187821, acquisition_time=59.320876, MSE=0.000587
2026-01-08 17:48:27 - INFO - Bayesian Step 29: laser_energy=35.516175, pressure=6.575512, acquisition_time=51.224253, MSE=0.000586
2026-01-08 17:48:29 - INFO - Bayesian Step 30: laser_energy=29.602642, pressure=36.710947, acquisition_time=5.651012, MSE=0.029470
2026-01-08 17:48:30 - INFO - Bayesian Step 31: laser_energy=8.863714, pressure=42.863116, acquisition_time=5.000000, MSE=0.000549
2026-01-08 17:48:31 - INFO - Bayesian Step 32: laser_energy=42.492564, pressure=47.310731, acquisition_time=100.000000, MSE=0.000587
2026-01-08 17:48:32 - INFO - Bayesian Step 33: laser_energy=36.272515, pressure=20.400837, acquisition_time=100.000000, MSE=0.000587
2026-01-08 17:48:33 - INFO - Bayesian Step 34: laser_energy=30.222632, pressure=18.936470, acquisition_time=100.000000, MSE=0.000587
2026-01-08 17:48:34 - INFO - Bayesian Step 35: laser_energy=21.876007, pressure=47.340838, acquisition_time=100.000000, MSE=0.000587
2026-01-08 17:48:35 - INFO - Bayesian Step 36: laser_energy=50.000000, pressure=1.000000, acquisition_time=5.000000, MSE=0.000587
2026-01-08 17:48:36 - INFO - Bayesian Step 37: laser_energy=38.497421, pressure=32.442244, acquisition_time=100.000000, MSE=0.000587
2026-01-08 17:48:38 - INFO - Bayesian Step 38: laser_energy=5.000000, pressure=31.841807, acquisition_time=63.510358, MSE=0.000586
2026-01-08 17:48:39 - INFO - Bayesian Step 39: laser_energy=17.394436, pressure=28.384435, acquisition_time=100.000000, MSE=0.000587
2026-01-08 17:48:40 - INFO - Bayesian Step 40: laser_energy=9.081742, pressure=48.072748, acquisition_time=33.766806, MSE=0.000586
2026-01-08 17:48:41 - INFO - Bayesian Step 41: laser_energy=42.162610, pressure=37.502497, acquisition_time=44.802085, MSE=0.000553
2026-01-08 17:48:42 - INFO - Bayesian Step 42: laser_energy=25.363328, pressure=47.439754, acquisition_time=100.000000, MSE=0.000587
2026-01-08 17:48:44 - INFO - Bayesian Step 43: laser_energy=50.000000, pressure=49.610031, acquisition_time=56.924412, MSE=0.000587
2026-01-08 17:48:45 - INFO - Bayesian Step 44: laser_energy=14.257742, pressure=2.774436, acquisition_time=100.000000, MSE=0.000587
2026-01-08 17:48:46 - INFO - Bayesian Step 45: laser_energy=42.657470, pressure=4.067609, acquisition_time=5.000000, MSE=0.000587
2026-01-08 17:48:47 - INFO - Bayesian Step 46: laser_energy=36.123558, pressure=6.435263, acquisition_time=71.895705, MSE=0.000587
2026-01-08 17:48:49 - INFO - Bayesian Step 47: laser_energy=37.074840, pressure=41.403279, acquisition_time=5.000000, MSE=0.002325
2026-01-08 17:48:50 - INFO - Bayesian Step 48: laser_energy=47.246469, pressure=3.295527, acquisition_time=5.000000, MSE=0.000587
2026-01-08 17:48:51 - INFO - Bayesian Step 49: laser_energy=7.794406, pressure=2.676730, acquisition_time=100.000000, MSE=0.000587
2026-01-08 17:48:52 - INFO - Bayesian Step 50: laser_energy=22.769836, pressure=8.428175, acquisition_time=5.000000, MSE=0.002884
2026-01-08 17:48:54 - INFO - Bayesian Step 51: laser_energy=28.776384, pressure=9.438266, acquisition_time=62.519398, MSE=0.000587
2026-01-08 17:48:55 - INFO - Bayesian Step 52: laser_energy=25.096928, pressure=29.478083, acquisition_time=68.352930, MSE=0.000565
2026-01-08 17:48:56 - INFO - Bayesian Step 53: laser_energy=33.174322, pressure=1.455580, acquisition_time=99.824338, MSE=0.000587
2026-01-08 17:48:57 - INFO - Bayesian Step 54: laser_energy=25.853554, pressure=25.233279, acquisition_time=43.650413, MSE=0.047019
2026-01-08 17:48:59 - INFO - Bayesian Step 55: laser_energy=30.756257, pressure=20.658815, acquisition_time=92.828026, MSE=0.000587
2026-01-08 17:49:00 - INFO - Bayesian Step 56: laser_energy=20.896693, pressure=32.033169, acquisition_time=80.385849, MSE=0.000587
2026-01-08 17:49:01 - INFO - Bayesian Step 57: laser_energy=28.288278, pressure=7.736331, acquisition_time=73.534154, MSE=0.000587
2026-01-08 17:49:02 - INFO - Bayesian Step 58: laser_energy=50.000000, pressure=1.000000, acquisition_time=73.983700, MSE=0.000587
2026-01-08 17:49:04 - INFO - Bayesian Step 59: laser_energy=18.785926, pressure=18.982661, acquisition_time=19.458177, MSE=0.007032
2026-01-08 17:49:05 - INFO - Bayesian Step 60: laser_energy=43.679674, pressure=48.073496, acquisition_time=85.518183, MSE=0.000587
2026-01-08 17:49:06 - INFO - Bayesian Step 61: laser_energy=6.805726, pressure=24.323656, acquisition_time=29.123798, MSE=0.000413
2026-01-08 17:49:08 - INFO - Bayesian Step 62: laser_energy=5.000000, pressure=10.492575, acquisition_time=45.661741, MSE=0.000571
2026-01-08 17:49:09 - INFO - Bayesian Step 63: laser_energy=13.101286, pressure=41.488899, acquisition_time=39.462566, MSE=0.000981
2026-01-08 17:49:10 - INFO - Bayesian Step 64: laser_energy=34.447008, pressure=9.157744, acquisition_time=53.860358, MSE=0.000587
2026-01-08 17:49:12 - INFO - Bayesian Step 65: laser_energy=5.000000, pressure=5.019419, acquisition_time=80.553883, MSE=0.000587
2026-01-08 17:49:13 - INFO - Bayesian Step 66: laser_energy=41.202820, pressure=37.357640, acquisition_time=95.789292, MSE=0.000587
2026-01-08 17:49:14 - INFO - Bayesian Step 67: laser_energy=46.033753, pressure=3.983100, acquisition_time=10.367969, MSE=0.000587
2026-01-08 17:49:16 - INFO - Bayesian Step 68: laser_energy=39.934652, pressure=42.930838, acquisition_time=60.891035, MSE=0.000585
2026-01-08 17:49:17 - INFO - Bayesian Step 69: laser_energy=50.000000, pressure=8.872687, acquisition_time=42.250916, MSE=0.000587
2026-01-08 17:49:19 - INFO - Bayesian Step 70: laser_energy=31.866540, pressure=19.187015, acquisition_time=91.764850, MSE=0.000587
2026-01-08 17:49:21 - INFO - Bayesian Step 71: laser_energy=19.119297, pressure=7.802255, acquisition_time=67.574820, MSE=0.000587
2026-01-08 17:49:22 - INFO - Bayesian Step 72: laser_energy=8.598799, pressure=20.824399, acquisition_time=17.072238, MSE=0.000830
